neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,latitude,longitude
Unknown,Bay Ho,Entire home/apt,1300,2,15,32.81192,-117.21314
City of Los Angeles,Beverly Grove,Private room,69,30,0,34.07579,-118.37371
Other Cities,Burbank,Entire home/apt,325,5,43,34.18906,-118.29171
Unknown,San Jose,Entire home/apt,118,3,13,37.2973,-121.99865
Other Cities,Santa Monica,Entire home/apt,175,31,9,34.03347,-118.4844
City of Los Angeles,Palms,Entire home/apt,180,31,1,34.0197451,-118.4047576
Unknown,Ward B (councilmember Mira Prinz-Arey),Entire home/apt,220,2,53,40.71734,-74.07954
Unknown,Burlingame,Entire home/apt,188,5,47,37.58477,-122.35082
Brooklyn,Fort Greene,Entire home/apt,180,2,33,40.689743,-73.972961
City of Los Angeles,East Hollywood,Shared room,31,30,0,34.08714985001337,-118.30870751291512
Unknown,78724,Entire home/apt,296,1,12,30.2840284,-97.581021
Queens,Long Island City,Entire home/apt,150,29,23,40.75293,-73.93522
Unknown,Unincorporated Areas,Entire home/apt,218,1,1,36.10011,-115.21274
Unknown,East Village,Entire home/apt,122,2,18,32.70587,-117.14753
